,food_type,temperature,hours_already_spent,risk
6130,Dry vegetable dishes,cool temperature(approx. 18 C),0.8,low
6131,Dry vegetable dishes,cool temperature(approx. 18 C),8.65,high
6132,Gravy-based veg curries,refrigerated temperature,8.11,low
6133,Gravy-based veg curries,room temperature(more than 25 C),1.54,high
6134,Fried items,cool temperature(approx. 18 C),10.38,low
6135,Dal/lentils,cool temperature(approx. 18 C),8.77,very high
6136,Non-veg curries,refrigerated temperature,3.43,low
6137,Fried items,room temperature(more than 25 C),1.69,medium
6138,Fresh breads,refrigerated temperature,11.74,low
6139,Dry vegetable dishes,cool temperature(approx. 18 C),10.15,very high
6140,Fried items,cool temperature(approx. 18 C),10.12,low
6141,Fried items,cool temperature(approx. 18 C),9.58,low
6142,Non-veg curries,cool temperature(approx. 18 C),8.6,very high
6143,Cooked rice dish,refrigerated temperature,11.01,low
6144,Dairy-based curries,refrigerated temperature,5.91,low
6145,Fried items,room temperature(more than 25 C),0.76,medium
6146,Dry vegetable dishes,refrigerated temperature,0.95,low
6147,Gravy-based veg curries,room temperature(more than 25 C),8.26,very high
6148,Dry vegetable dishes,room temperature(more than 25 C),4.57,very high
6149,Non-veg curries,refrigerated temperature,4.24,low
6150,Gravy-based veg curries,refrigerated temperature,5.74,low
6151,Fried items,room temperature(more than 25 C),0.29,medium
6152,Fried items,refrigerated temperature,5.31,low
6153,Fresh breads,room temperature(more than 25 C),7.01,very high
6154,Dal/lentils,room temperature(more than 25 C),8.78,very high
6155,Fresh breads,cool temperature(approx. 18 C),6.95,medium
6156,Fried items,room temperature(more than 25 C),0.41,medium
6157,Fried items,cool temperature(approx. 18 C),2.12,low
6158,Dry vegetable dishes,cool temperature(approx. 18 C),6.44,medium
6159,Fried items,room temperature(more than 25 C),7.28,very high
6160,Dairy-based curries,cool temperature(approx. 18 C),6.24,very high
6161,Dairy-based curries,cool temperature(approx. 18 C),10.12,very high
6162,Dry vegetable dishes,room temperature(more than 25 C),8.04,very high
6163,Gravy-based veg curries,refrigerated temperature,1.83,low
6164,Gravy-based veg curries,refrigerated temperature,2.19,low
6165,Gravy-based veg curries,room temperature(more than 25 C),7.24,very high
6166,Dal/lentils,room temperature(more than 25 C),2.07,very high
6167,Dairy-based curries,refrigerated temperature,6.03,low
6168,Dairy-based curries,cool temperature(approx. 18 C),0.31,high
6169,Dal/lentils,refrigerated temperature,5.63,low
6170,Fresh breads,room temperature(more than 25 C),11.22,very high
6171,Cooked rice dish,room temperature(more than 25 C),4.44,very high
6172,Gravy-based veg curries,cool temperature(approx. 18 C),5.36,high
6173,Non-veg curries,refrigerated temperature,5.31,low
6174,Dal/lentils,room temperature(more than 25 C),5.97,very high
6175,Dal/lentils,room temperature(more than 25 C),4.41,very high
6176,Sweets,refrigerated temperature,5.43,low
6177,Gravy-based veg curries,room temperature(more than 25 C),0.71,high
6178,Cooked rice dish,room temperature(more than 25 C),8.52,very high
6179,Fresh breads,room temperature(more than 25 C),3.18,medium
6180,Dry vegetable dishes,cool temperature(approx. 18 C),9.3,high
6181,Dry vegetable dishes,room temperature(more than 25 C),11.42,very high
6182,Sweets,refrigerated temperature,9.31,low
6183,Non-veg curries,refrigerated temperature,1.06,low
6184,Fresh breads,cool temperature(approx. 18 C),6.76,medium
6185,Gravy-based veg curries,refrigerated temperature,3.38,low
6186,Fresh breads,room temperature(more than 25 C),0.02,medium
6187,Dal/lentils,cool temperature(approx. 18 C),10.26,very high
6188,Non-veg curries,room temperature(more than 25 C),10.74,very high
6189,Cooked rice dish,room temperature(more than 25 C),6.73,very high
6190,Fried items,refrigerated temperature,9.51,low
6191,Gravy-based veg curries,refrigerated temperature,2.24,low
6192,Non-veg curries,room temperature(more than 25 C),11.34,very high
6193,Dal/lentils,refrigerated temperature,0.65,low
6194,Non-veg curries,cool temperature(approx. 18 C),10.94,very high
6195,Fresh breads,cool temperature(approx. 18 C),4.78,medium
6196,Dal/lentils,room temperature(more than 25 C),2.53,very high
6197,Dairy-based curries,room temperature(more than 25 C),4.39,very high
6198,Dal/lentils,refrigerated temperature,2.14,low
6199,Dry vegetable dishes,cool temperature(approx. 18 C),7.73,medium
6200,Sweets,room temperature(more than 25 C),6.35,very high
6201,Gravy-based veg curries,refrigerated temperature,1.46,low
6202,Fresh breads,room temperature(more than 25 C),11.77,very high
6203,Dal/lentils,refrigerated temperature,4.46,low
6204,Sweets,room temperature(more than 25 C),11.84,very high
6205,Sweets,cool temperature(approx. 18 C),6.38,medium
6206,Fried items,cool temperature(approx. 18 C),6.65,low
6207,Fresh breads,refrigerated temperature,7.18,low
6208,Dry vegetable dishes,refrigerated temperature,4.88,low
6209,Fresh breads,room temperature(more than 25 C),10.97,very high
6210,Fresh breads,refrigerated temperature,6.0,low
6211,Sweets,cool temperature(approx. 18 C),8.89,high
6212,Dry vegetable dishes,refrigerated temperature,9.43,low
6213,Dairy-based curries,room temperature(more than 25 C),1.77,very high
6214,Dal/lentils,room temperature(more than 25 C),2.73,very high
6215,Non-veg curries,room temperature(more than 25 C),11.48,very high
6216,Non-veg curries,room temperature(more than 25 C),7.17,very high
6217,Dry vegetable dishes,cool temperature(approx. 18 C),4.69,medium
6218,Dry vegetable dishes,room temperature(more than 25 C),1.42,medium
6219,Fresh breads,room temperature(more than 25 C),5.36,high
6220,Fresh breads,room temperature(more than 25 C),8.01,very high
6221,Cooked rice dish,room temperature(more than 25 C),1.37,very high
6222,Dry vegetable dishes,cool temperature(approx. 18 C),5.2,medium
6223,Fresh breads,room temperature(more than 25 C),10.82,very high
6224,Gravy-based veg curries,refrigerated temperature,6.33,low
6225,Non-veg curries,refrigerated temperature,7.29,low
6226,Non-veg curries,refrigerated temperature,8.86,low
6227,Dal/lentils,refrigerated temperature,6.84,low
6228,Cooked rice dish,refrigerated temperature,5.43,low
6229,Fresh breads,refrigerated temperature,5.82,low
6230,Dry vegetable dishes,refrigerated temperature,7.98,low
6231,Fried items,cool temperature(approx. 18 C),6.47,low
6232,Dal/lentils,room temperature(more than 25 C),2.75,very high
6233,Gravy-based veg curries,refrigerated temperature,3.66,low
6234,Non-veg curries,cool temperature(approx. 18 C),9.36,very high
6235,Cooked rice dish,refrigerated temperature,8.47,low
6236,Non-veg curries,cool temperature(approx. 18 C),5.89,very high
6237,Gravy-based veg curries,cool temperature(approx. 18 C),6.52,very high
6238,Gravy-based veg curries,cool temperature(approx. 18 C),9.8,very high
6239,Fresh breads,room temperature(more than 25 C),8.5,very high
6240,Cooked rice dish,refrigerated temperature,5.76,low
6241,Fried items,refrigerated temperature,3.57,low
6242,Fried items,room temperature(more than 25 C),0.42,medium
6243,Fresh breads,refrigerated temperature,8.45,low
6244,Cooked rice dish,refrigerated temperature,2.24,low
6245,Gravy-based veg curries,room temperature(more than 25 C),3.23,very high
6246,Fried items,room temperature(more than 25 C),11.59,very high
6247,Fresh breads,cool temperature(approx. 18 C),3.52,low
6248,Fresh breads,refrigerated temperature,10.12,low
6249,Dry vegetable dishes,refrigerated temperature,6.14,low
6250,Fresh breads,room temperature(more than 25 C),8.12,very high
6251,Fried items,refrigerated temperature,11.53,low
6252,Fresh breads,refrigerated temperature,7.0,low
6253,Fresh breads,refrigerated temperature,4.46,low
6254,Non-veg curries,cool temperature(approx. 18 C),2.56,very high
6255,Non-veg curries,cool temperature(approx. 18 C),1.74,high
6256,Dry vegetable dishes,refrigerated temperature,9.78,low
6257,Dairy-based curries,room temperature(more than 25 C),11.28,very high
6258,Dairy-based curries,room temperature(more than 25 C),4.62,very high
6259,Fresh breads,refrigerated temperature,5.86,low
6260,Gravy-based veg curries,refrigerated temperature,4.19,low
6261,Dairy-based curries,room temperature(more than 25 C),6.59,very high
6262,Cooked rice dish,cool temperature(approx. 18 C),0.18,high
6263,Dal/lentils,room temperature(more than 25 C),4.92,very high
6264,Sweets,refrigerated temperature,2.39,low
6265,Non-veg curries,cool temperature(approx. 18 C),8.23,very high
6266,Fresh breads,refrigerated temperature,4.93,low
6267,Dry vegetable dishes,refrigerated temperature,4.84,low
6268,Non-veg curries,cool temperature(approx. 18 C),9.22,very high
6269,Gravy-based veg curries,room temperature(more than 25 C),0.89,high
6270,Dairy-based curries,room temperature(more than 25 C),1.19,very high
6271,Dal/lentils,cool temperature(approx. 18 C),3.41,medium
6272,Dry vegetable dishes,cool temperature(approx. 18 C),9.75,high
6273,Non-veg curries,refrigerated temperature,8.42,low
6274,Dal/lentils,refrigerated temperature,8.81,low
6275,Cooked rice dish,room temperature(more than 25 C),6.21,very high
6276,Fresh breads,refrigerated temperature,4.15,low
6277,Dry vegetable dishes,cool temperature(approx. 18 C),5.18,medium
6278,Cooked rice dish,refrigerated temperature,11.53,low
6279,Fried items,cool temperature(approx. 18 C),5.77,low
6280,Dry vegetable dishes,room temperature(more than 25 C),3.13,high
6281,Non-veg curries,refrigerated temperature,1.69,low
6282,Dry vegetable dishes,refrigerated temperature,6.14,low
6283,Non-veg curries,cool temperature(approx. 18 C),2.95,very high
6284,Cooked rice dish,room temperature(more than 25 C),4.51,very high
6285,Non-veg curries,cool temperature(approx. 18 C),6.3,very high
6286,Dal/lentils,cool temperature(approx. 18 C),9.3,very high
6287,Non-veg curries,room temperature(more than 25 C),7.16,very high
6288,Sweets,refrigerated temperature,7.09,low
6289,Non-veg curries,refrigerated temperature,7.88,low
6290,Dry vegetable dishes,cool temperature(approx. 18 C),4.81,medium
6291,Sweets,refrigerated temperature,4.53,low
6292,Fresh breads,cool temperature(approx. 18 C),10.89,very high
6293,Dry vegetable dishes,cool temperature(approx. 18 C),5.57,medium
6294,Cooked rice dish,room temperature(more than 25 C),1.58,very high
6295,Fried items,cool temperature(approx. 18 C),1.51,low
6296,Dry vegetable dishes,room temperature(more than 25 C),10.14,very high
6297,Sweets,cool temperature(approx. 18 C),8.48,high
6298,Cooked rice dish,cool temperature(approx. 18 C),3.43,very high
6299,Fried items,room temperature(more than 25 C),11.79,very high
6300,Sweets,refrigerated temperature,4.02,low
6301,Dairy-based curries,room temperature(more than 25 C),11.5,very high
6302,Dairy-based curries,room temperature(more than 25 C),11.26,very high
6303,Dairy-based curries,cool temperature(approx. 18 C),4.68,very high
6304,Dry vegetable dishes,cool temperature(approx. 18 C),7.13,medium
6305,Fried items,refrigerated temperature,1.51,low
6306,Dairy-based curries,cool temperature(approx. 18 C),8.69,very high
6307,Dry vegetable dishes,room temperature(more than 25 C),7.87,very high
6308,Gravy-based veg curries,room temperature(more than 25 C),8.76,very high
6309,Cooked rice dish,cool temperature(approx. 18 C),3.1,very high
6310,Fresh breads,cool temperature(approx. 18 C),0.91,low
6311,Fried items,room temperature(more than 25 C),4.95,high
6312,Non-veg curries,refrigerated temperature,4.8,low
6313,Dry vegetable dishes,cool temperature(approx. 18 C),0.24,low
6314,Fried items,room temperature(more than 25 C),3.37,medium
6315,Dal/lentils,cool temperature(approx. 18 C),1.28,medium
6316,Dry vegetable dishes,room temperature(more than 25 C),9.64,very high
6317,Fresh breads,room temperature(more than 25 C),6.57,very high
6318,Gravy-based veg curries,cool temperature(approx. 18 C),4.23,high
6319,Fresh breads,refrigerated temperature,0.63,low
6320,Cooked rice dish,refrigerated temperature,6.73,low
6321,Fresh breads,room temperature(more than 25 C),3.18,medium
6322,Fried items,refrigerated temperature,9.53,low
6323,Fresh breads,cool temperature(approx. 18 C),8.44,high
6324,Sweets,room temperature(more than 25 C),2.5,high
6325,Cooked rice dish,room temperature(more than 25 C),0.45,high
6326,Dairy-based curries,refrigerated temperature,8.32,low
6327,Gravy-based veg curries,refrigerated temperature,5.22,low
6328,Dry vegetable dishes,cool temperature(approx. 18 C),6.02,medium
6329,Non-veg curries,refrigerated temperature,7.97,low
6330,Fried items,cool temperature(approx. 18 C),1.55,low
6331,Dal/lentils,refrigerated temperature,4.06,low
6332,Fried items,refrigerated temperature,11.79,low
6333,Dry vegetable dishes,cool temperature(approx. 18 C),9.06,high
6334,Gravy-based veg curries,refrigerated temperature,10.22,low
6335,Sweets,refrigerated temperature,7.21,low
6336,Dairy-based curries,room temperature(more than 25 C),4.86,very high
6337,Dry vegetable dishes,refrigerated temperature,7.55,low
6338,Dairy-based curries,refrigerated temperature,0.74,low
6339,Dal/lentils,refrigerated temperature,10.62,low
6340,Dry vegetable dishes,cool temperature(approx. 18 C),1.49,low
6341,Dairy-based curries,refrigerated temperature,1.46,low
6342,Fresh breads,room temperature(more than 25 C),10.42,very high
6343,Dairy-based curries,cool temperature(approx. 18 C),0.39,high
6344,Fresh breads,room temperature(more than 25 C),2.48,medium
6345,Cooked rice dish,refrigerated temperature,6.59,low
6346,Fresh breads,room temperature(more than 25 C),4.84,high
6347,Sweets,refrigerated temperature,8.52,low
6348,Dry vegetable dishes,cool temperature(approx. 18 C),6.96,medium
6349,Fried items,cool temperature(approx. 18 C),4.28,low
6350,Gravy-based veg curries,refrigerated temperature,10.07,low
6351,Cooked rice dish,cool temperature(approx. 18 C),1.74,high
6352,Dal/lentils,room temperature(more than 25 C),7.46,very high
6353,Gravy-based veg curries,cool temperature(approx. 18 C),3.18,medium
6354,Fried items,room temperature(more than 25 C),0.41,medium
6355,Fried items,refrigerated temperature,1.77,low
6356,Dal/lentils,room temperature(more than 25 C),2.39,very high
6357,Gravy-based veg curries,cool temperature(approx. 18 C),4.68,high
6358,Gravy-based veg curries,room temperature(more than 25 C),6.84,very high
6359,Gravy-based veg curries,room temperature(more than 25 C),5.16,very high
6360,Sweets,room temperature(more than 25 C),11.41,very high
6361,Cooked rice dish,cool temperature(approx. 18 C),2.12,very high
6362,Dairy-based curries,room temperature(more than 25 C),8.75,very high
6363,Fresh breads,room temperature(more than 25 C),8.97,very high
6364,Fried items,cool temperature(approx. 18 C),9.91,low
6365,Sweets,room temperature(more than 25 C),9.92,very high
6366,Fried items,cool temperature(approx. 18 C),8.53,low
6367,Cooked rice dish,cool temperature(approx. 18 C),7.34,very high
6368,Fried items,room temperature(more than 25 C),6.1,very high
6369,Cooked rice dish,cool temperature(approx. 18 C),8.98,very high
6370,Cooked rice dish,refrigerated temperature,3.36,low
6371,Cooked rice dish,room temperature(more than 25 C),3.22,very high
6372,Dry vegetable dishes,cool temperature(approx. 18 C),0.92,low
6373,Non-veg curries,refrigerated temperature,2.61,low
6374,Cooked rice dish,refrigerated temperature,3.99,low
6375,Sweets,cool temperature(approx. 18 C),2.62,low
6376,Fresh breads,room temperature(more than 25 C),9.29,very high
6377,Dairy-based curries,refrigerated temperature,10.8,low
6378,Gravy-based veg curries,cool temperature(approx. 18 C),10.3,very high
6379,Dry vegetable dishes,room temperature(more than 25 C),7.9,very high
6380,Dry vegetable dishes,room temperature(more than 25 C),0.12,medium
6381,Gravy-based veg curries,refrigerated temperature,5.99,low
6382,Dal/lentils,room temperature(more than 25 C),4.05,very high
6383,Sweets,cool temperature(approx. 18 C),4.45,medium
6384,Non-veg curries,room temperature(more than 25 C),5.84,very high
6385,Fried items,room temperature(more than 25 C),11.66,very high
6386,Fresh breads,cool temperature(approx. 18 C),5.99,medium
6387,Fresh breads,cool temperature(approx. 18 C),7.64,medium
6388,Non-veg curries,refrigerated temperature,11.49,low
6389,Fresh breads,cool temperature(approx. 18 C),1.83,low
6390,Non-veg curries,refrigerated temperature,11.77,low
6391,Dal/lentils,cool temperature(approx. 18 C),11.08,very high
6392,Dry vegetable dishes,room temperature(more than 25 C),11.94,very high
6393,Dry vegetable dishes,room temperature(more than 25 C),6.39,very high
6394,Sweets,refrigerated temperature,4.11,low
6395,Fresh breads,room temperature(more than 25 C),10.93,very high
6396,Cooked rice dish,refrigerated temperature,0.26,low
6397,Non-veg curries,room temperature(more than 25 C),2.0,very high
6398,Sweets,room temperature(more than 25 C),7.7,very high
6399,Sweets,refrigerated temperature,7.03,low
6400,Fried items,refrigerated temperature,6.52,low
6401,Dairy-based curries,room temperature(more than 25 C),2.93,very high
6402,Sweets,refrigerated temperature,1.63,low
6403,Fried items,room temperature(more than 25 C),0.41,medium
6404,Dry vegetable dishes,refrigerated temperature,11.91,low
6405,Dal/lentils,cool temperature(approx. 18 C),2.32,medium
6406,Fried items,refrigerated temperature,10.33,low
6407,Fried items,room temperature(more than 25 C),10.29,very high
6408,Dairy-based curries,refrigerated temperature,4.11,low
6409,Dal/lentils,cool temperature(approx. 18 C),7.51,very high
6410,Fresh breads,room temperature(more than 25 C),10.16,very high
6411,Dal/lentils,room temperature(more than 25 C),10.81,very high
6412,Dairy-based curries,refrigerated temperature,8.64,low
6413,Dairy-based curries,cool temperature(approx. 18 C),7.88,very high
6414,Dal/lentils,room temperature(more than 25 C),3.47,very high
6415,Non-veg curries,cool temperature(approx. 18 C),11.02,very high
6416,Fried items,room temperature(more than 25 C),9.72,very high
6417,Dal/lentils,room temperature(more than 25 C),0.39,high
6418,Dry vegetable dishes,cool temperature(approx. 18 C),1.75,low
6419,Non-veg curries,cool temperature(approx. 18 C),10.29,very high
6420,Dal/lentils,cool temperature(approx. 18 C),7.83,very high
6421,Cooked rice dish,room temperature(more than 25 C),9.92,very high
6422,Non-veg curries,room temperature(more than 25 C),4.08,very high
6423,Dal/lentils,cool temperature(approx. 18 C),6.47,very high
6424,Dal/lentils,refrigerated temperature,4.1,low
6425,Dal/lentils,room temperature(more than 25 C),8.31,very high
6426,Sweets,cool temperature(approx. 18 C),10.87,very high
6427,Dairy-based curries,refrigerated temperature,2.51,low
6428,Dal/lentils,refrigerated temperature,10.72,low
6429,Fresh breads,room temperature(more than 25 C),6.19,very high
6430,Gravy-based veg curries,refrigerated temperature,11.11,low
6431,Dairy-based curries,refrigerated temperature,4.4,low
6432,Non-veg curries,room temperature(more than 25 C),4.51,very high
6433,Gravy-based veg curries,room temperature(more than 25 C),2.6,very high
6434,Dry vegetable dishes,cool temperature(approx. 18 C),10.04,very high
6435,Dal/lentils,room temperature(more than 25 C),8.99,very high
6436,Dal/lentils,cool temperature(approx. 18 C),2.36,medium
6437,Sweets,refrigerated temperature,7.45,low
6438,Fried items,refrigerated temperature,3.71,low
6439,Fried items,refrigerated temperature,7.68,low
6440,Dry vegetable dishes,cool temperature(approx. 18 C),1.3,low
6441,Non-veg curries,cool temperature(approx. 18 C),4.82,very high
6442,Cooked rice dish,room temperature(more than 25 C),9.84,very high
6443,Cooked rice dish,refrigerated temperature,2.22,low
6444,Dairy-based curries,cool temperature(approx. 18 C),5.59,very high
6445,Dal/lentils,refrigerated temperature,7.13,low
6446,Cooked rice dish,refrigerated temperature,0.25,low
6447,Non-veg curries,room temperature(more than 25 C),6.14,very high
6448,Cooked rice dish,cool temperature(approx. 18 C),8.79,very high
6449,Cooked rice dish,room temperature(more than 25 C),7.71,very high
6450,Sweets,refrigerated temperature,9.3,low
6451,Cooked rice dish,cool temperature(approx. 18 C),10.68,very high
6452,Non-veg curries,cool temperature(approx. 18 C),7.92,very high
6453,Fried items,refrigerated temperature,0.92,low
6454,Fried items,room temperature(more than 25 C),7.02,very high
6455,Cooked rice dish,refrigerated temperature,8.23,low
6456,Fresh breads,room temperature(more than 25 C),5.51,high
6457,Dal/lentils,cool temperature(approx. 18 C),9.18,very high
6458,Dry vegetable dishes,refrigerated temperature,7.14,low
6459,Fresh breads,cool temperature(approx. 18 C),11.57,very high
6460,Fresh breads,room temperature(more than 25 C),0.89,medium
6461,Non-veg curries,room temperature(more than 25 C),8.7,very high
6462,Sweets,cool temperature(approx. 18 C),10.17,very high
6463,Fresh breads,room temperature(more than 25 C),9.95,very high
6464,Sweets,cool temperature(approx. 18 C),8.95,high
6465,Sweets,cool temperature(approx. 18 C),6.89,medium
6466,Dairy-based curries,room temperature(more than 25 C),3.84,very high
6467,Sweets,cool temperature(approx. 18 C),3.69,low
6468,Sweets,cool temperature(approx. 18 C),4.11,medium
6469,Dal/lentils,refrigerated temperature,9.69,low
6470,Fried items,refrigerated temperature,11.51,low
6471,Sweets,room temperature(more than 25 C),5.7,very high
6472,Fresh breads,refrigerated temperature,4.43,low
6473,Gravy-based veg curries,cool temperature(approx. 18 C),10.48,very high
6474,Gravy-based veg curries,refrigerated temperature,5.28,low
6475,Cooked rice dish,room temperature(more than 25 C),3.62,very high
6476,Fried items,room temperature(more than 25 C),5.97,high
6477,Dal/lentils,refrigerated temperature,11.06,low
6478,Dry vegetable dishes,room temperature(more than 25 C),9.18,very high
6479,Non-veg curries,room temperature(more than 25 C),6.81,very high
6480,Dal/lentils,cool temperature(approx. 18 C),10.79,very high
6481,Fried items,room temperature(more than 25 C),3.53,medium
6482,Dal/lentils,refrigerated temperature,11.47,low
6483,Gravy-based veg curries,room temperature(more than 25 C),10.41,very high
6484,Dairy-based curries,refrigerated temperature,6.16,low
6485,Non-veg curries,room temperature(more than 25 C),7.26,very high
6486,Dal/lentils,cool temperature(approx. 18 C),3.4,medium
6487,Fried items,cool temperature(approx. 18 C),5.07,low
6488,Fresh breads,room temperature(more than 25 C),10.87,very high
6489,Dal/lentils,refrigerated temperature,1.3,low
6490,Gravy-based veg curries,cool temperature(approx. 18 C),9.54,very high
6491,Dry vegetable dishes,refrigerated temperature,3.67,low
6492,Fresh breads,refrigerated temperature,8.26,low
6493,Dal/lentils,room temperature(more than 25 C),11.26,very high
6494,Cooked rice dish,cool temperature(approx. 18 C),1.1,high
6495,Fried items,cool temperature(approx. 18 C),8.29,low
6496,Dal/lentils,cool temperature(approx. 18 C),5.4,high
6497,Fried items,refrigerated temperature,4.6,low
6498,Fresh breads,room temperature(more than 25 C),7.8,very high
6499,Cooked rice dish,cool temperature(approx. 18 C),6.17,very high
6500,Dal/lentils,refrigerated temperature,6.2,low
6501,Dry vegetable dishes,room temperature(more than 25 C),1.02,medium
6502,Non-veg curries,room temperature(more than 25 C),10.71,very high
6503,Dry vegetable dishes,cool temperature(approx. 18 C),3.82,low
6504,Gravy-based veg curries,room temperature(more than 25 C),5.92,very high
6505,Dal/lentils,cool temperature(approx. 18 C),6.69,very high
6506,Dairy-based curries,cool temperature(approx. 18 C),7.99,very high
6507,Sweets,room temperature(more than 25 C),7.93,very high
6508,Fresh breads,refrigerated temperature,4.51,low
6509,Gravy-based veg curries,room temperature(more than 25 C),8.43,very high
6510,Gravy-based veg curries,refrigerated temperature,10.48,low
6511,Dry vegetable dishes,cool temperature(approx. 18 C),10.45,very high
6512,Gravy-based veg curries,cool temperature(approx. 18 C),3.96,medium
6513,Gravy-based veg curries,refrigerated temperature,6.41,low
6514,Dry vegetable dishes,refrigerated temperature,1.23,low
6515,Cooked rice dish,cool temperature(approx. 18 C),1.81,high
6516,Non-veg curries,cool temperature(approx. 18 C),4.18,very high
6517,Sweets,room temperature(more than 25 C),1.42,high
6518,Sweets,cool temperature(approx. 18 C),9.45,high
6519,Dal/lentils,refrigerated temperature,4.71,low
6520,Fried items,cool temperature(approx. 18 C),2.83,low
6521,Gravy-based veg curries,cool temperature(approx. 18 C),7.13,very high
6522,Fresh breads,cool temperature(approx. 18 C),0.66,low
6523,Dairy-based curries,cool temperature(approx. 18 C),8.24,very high
6524,Dry vegetable dishes,refrigerated temperature,8.31,low
6525,Gravy-based veg curries,refrigerated temperature,4.08,low
6526,Dry vegetable dishes,cool temperature(approx. 18 C),0.1,low
6527,Fresh breads,room temperature(more than 25 C),5.35,high
6528,Sweets,refrigerated temperature,6.83,low
6529,Dry vegetable dishes,room temperature(more than 25 C),3.77,high
6530,Dairy-based curries,room temperature(more than 25 C),7.91,very high
6531,Cooked rice dish,refrigerated temperature,11.27,low
6532,Sweets,room temperature(more than 25 C),3.65,very high
6533,Fresh breads,room temperature(more than 25 C),4.94,high
6534,Dairy-based curries,cool temperature(approx. 18 C),8.83,very high
6535,Dal/lentils,room temperature(more than 25 C),9.14,very high
6536,Fried items,refrigerated temperature,7.27,low
6537,Dry vegetable dishes,cool temperature(approx. 18 C),7.76,medium
6538,Fresh breads,room temperature(more than 25 C),6.5,very high
6539,Gravy-based veg curries,room temperature(more than 25 C),5.24,very high
6540,Cooked rice dish,refrigerated temperature,9.03,low
6541,Fresh breads,cool temperature(approx. 18 C),7.05,medium
6542,Sweets,cool temperature(approx. 18 C),1.32,low
6543,Non-veg curries,cool temperature(approx. 18 C),10.66,very high
6544,Fried items,cool temperature(approx. 18 C),5.43,low
6545,Dairy-based curries,cool temperature(approx. 18 C),3.79,very high
6546,Gravy-based veg curries,room temperature(more than 25 C),2.38,very high
6547,Dry vegetable dishes,refrigerated temperature,7.26,low
6548,Cooked rice dish,refrigerated temperature,10.47,low
6549,Fried items,cool temperature(approx. 18 C),3.26,low
6550,Non-veg curries,room temperature(more than 25 C),0.42,very high
6551,Non-veg curries,cool temperature(approx. 18 C),8.9,very high
6552,Non-veg curries,room temperature(more than 25 C),3.73,very high
6553,Gravy-based veg curries,refrigerated temperature,10.37,low
6554,Gravy-based veg curries,cool temperature(approx. 18 C),7.44,very high
6555,Fresh breads,cool temperature(approx. 18 C),9.4,high
6556,Cooked rice dish,refrigerated temperature,5.95,low
6557,Dal/lentils,room temperature(more than 25 C),9.77,very high
6558,Fresh breads,room temperature(more than 25 C),3.01,medium
6559,Dal/lentils,room temperature(more than 25 C),3.63,very high
6560,Cooked rice dish,refrigerated temperature,7.94,low
6561,Sweets,room temperature(more than 25 C),8.77,very high
6562,Fresh breads,room temperature(more than 25 C),4.94,high
6563,Gravy-based veg curries,cool temperature(approx. 18 C),4.21,high
6564,Dairy-based curries,refrigerated temperature,8.82,low
6565,Dal/lentils,cool temperature(approx. 18 C),2.7,medium
6566,Sweets,room temperature(more than 25 C),1.61,high
6567,Cooked rice dish,room temperature(more than 25 C),9.66,very high
6568,Dal/lentils,room temperature(more than 25 C),5.9,very high
6569,Cooked rice dish,refrigerated temperature,1.9,low
6570,Non-veg curries,room temperature(more than 25 C),4.91,very high
6571,Fried items,room temperature(more than 25 C),7.71,very high
6572,Fried items,room temperature(more than 25 C),8.56,very high
6573,Non-veg curries,refrigerated temperature,9.44,low
6574,Gravy-based veg curries,cool temperature(approx. 18 C),1.36,medium
6575,Sweets,room temperature(more than 25 C),2.99,high
6576,Cooked rice dish,refrigerated temperature,1.88,low
6577,Dry vegetable dishes,refrigerated temperature,2.27,low
6578,Sweets,cool temperature(approx. 18 C),9.1,high
6579,Cooked rice dish,cool temperature(approx. 18 C),3.14,very high
6580,Fresh breads,cool temperature(approx. 18 C),6.14,medium
6581,Dairy-based curries,room temperature(more than 25 C),2.47,very high
6582,Fried items,room temperature(more than 25 C),9.58,very high
6583,Cooked rice dish,cool temperature(approx. 18 C),2.36,very high
6584,Gravy-based veg curries,room temperature(more than 25 C),9.85,very high
6585,Dry vegetable dishes,room temperature(more than 25 C),9.6,very high
6586,Dairy-based curries,cool temperature(approx. 18 C),1.88,high
6587,Gravy-based veg curries,cool temperature(approx. 18 C),7.6,very high
6588,Sweets,room temperature(more than 25 C),9.21,very high
6589,Dairy-based curries,room temperature(more than 25 C),6.54,very high
6590,Cooked rice dish,cool temperature(approx. 18 C),3.03,very high
6591,Gravy-based veg curries,cool temperature(approx. 18 C),3.1,medium
6592,Non-veg curries,refrigerated temperature,0.39,low
6593,Fresh breads,refrigerated temperature,3.81,low
6594,Fried items,room temperature(more than 25 C),0.91,medium
6595,Dry vegetable dishes,refrigerated temperature,3.96,low
6596,Cooked rice dish,refrigerated temperature,8.2,low
6597,Dal/lentils,refrigerated temperature,11.74,low
6598,Dairy-based curries,room temperature(more than 25 C),0.19,high
6599,Dal/lentils,room temperature(more than 25 C),9.77,very high
6600,Non-veg curries,refrigerated temperature,8.7,low
6601,Fresh breads,cool temperature(approx. 18 C),2.22,low
6602,Fresh breads,cool temperature(approx. 18 C),5.83,medium
6603,Dairy-based curries,refrigerated temperature,2.88,low
6604,Non-veg curries,refrigerated temperature,6.41,low
6605,Cooked rice dish,room temperature(more than 25 C),5.85,very high
